Município,Menor 1 ano,1 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 69 anos,70 a 79 anos,80 anos e mais,Idade ignorada,Total
270410 Lagoa da Canoa,-,-,-,-,6,5,1,2,-,-,-,-,-,14
270420 Limoeiro de Anadia,-,-,-,-,1,2,-,-,-,-,-,-,-,3
270430 Maceió,-,1,1,4,185,319,108,52,23,15,2,1,-,711
270440 Major Isidoro,-,-,-,-,-,2,1,1,1,-,1,-,-,6
270490 Mar Vermelho,-,-,-,-,-,1,-,-,-,-,-,-,-,1
270450 Maragogi,-,-,-,-,5,15,6,1,-,-,-,-,-,27
270460 Maravilha,-,-,-,-,-,1,1,-,-,-,-,-,-,2
270470 Marechal Deodoro,-,-,-,-,6,12,4,1,1,-,-,-,-,24
270480 Maribondo,-,-,-,-,-,2,2,-,1,1,-,-,-,6
270500 Mata Grande,-,-,-,-,1,3,-,2,1,-,-,1,-,8
270510 Matriz de Camaragibe,-,-,-,-,2,3,2,3,-,-,-,-,-,10
270520 Messias,-,-,-,-,1,2,-,-,1,-,-,-,-,4
270530 Minador do Negrão,-,-,-,-,-,-,1,-,-,-,-,-,-,1
270540 Monteirópolis,-,-,-,-,-,1,-,-,-,-,-,-,-,1
270550 Murici,-,1,-,-,2,6,1,4,-,-,1,-,-,15
270560 Novo Lino,-,-,-,-,3,1,1,-,-,-,-,-,-,5
270570 Olho d'Água das Flores,-,-,-,-,2,4,2,3,-,-,-,-,-,11
270580 Olho d'Água do Casado,-,-,-,-,-,-,-,-,1,-,-,-,-,1
270590 Olho d'Água Grande,-,-,-,-,-,-,-,1,-,-,-,-,-,1
270600 Olivença,-,-,-,-,-,-,1,-,-,1,-,-,-,2
270610 Ouro Branco,-,-,-,-,-,-,1,-,-,-,-,-,-,1
270630 Palmeira dos Índios,-,1,-,2,5,20,5,3,-,1,-,-,-,37
270640 Pão de Açúcar,-,-,-,-,1,1,1,4,-,2,-,-,-,9
270642 Pariconha,-,-,-,-,-,-,-,1,-,-,-,-,-,1
270644 Paripueira,-,-,-,-,-,3,-,1,-,-,1,-,-,5
270650 Passo de Camaragibe,-,-,-,-,2,2,1,1,1,-,-,-,-,7
270660 Paulo Jacinto,-,-,-,-,-,-,1,-,-,-,-,-,-,1
270670 Penedo,-,-,-,-,4,14,11,4,1,1,-,-,-,35
270680 Piaçabuçu,1,-,-,1,-,1,4,1,1,1,-,-,-,10
270690 Pilar,-,1,-,2,5,13,3,4,3,2,-,1,-,34
270710 Piranhas,-,-,-,-,-,6,3,-,1,-,-,-,-,10
270720 Poço das Trincheiras,-,-,-,-,-,-,1,-,1,-,-,-,-,2
270730 Porto Calvo,-,-,-,-,5,8,-,2,1,1,-,-,-,17
270740 Porto de Pedras,-,-,-,-,-,1,3,-,-,-,-,-,-,4
270750 Porto Real do Colégio,-,-,-,-,2,7,1,2,2,-,1,-,-,15
270760 Quebrangulo,-,-,-,-,1,3,-,-,-,-,-,-,-,4
270770 Rio Largo,-,-,-,3,14,24,3,4,-,1,-,-,-,49
270780 Roteiro,-,-,-,-,6,3,3,-,-,-,-,-,-,12
270790 Santa Luzia do Norte,-,-,-,-,-,2,-,-,1,-,-,-,-,3
270800 Santana do Ipanema,-,-,-,-,7,7,8,6,1,2,-,-,-,31
270810 Santana do Mundaú,-,-,-,-,1,2,-,1,-,-,-,-,-,4
270830 São José da Laje,-,-,-,2,1,2,3,2,-,-,-,-,-,10
270840 São José da Tapera,-,-,-,-,-,4,1,1,1,-,-,-,-,7
270850 São Luís do Quitunde,-,-,-,1,2,4,1,1,1,2,-,-,-,12
270860 São Miguel dos Campos,-,-,-,-,8,11,3,-,-,-,-,-,-,22
270870 São Miguel dos Milagres,-,-,-,-,1,-,-,-,-,-,-,-,-,1
270880 São Sebastião,-,-,-,-,2,5,5,2,2,-,-,-,-,16
270890 Satuba,-,-,-,-,2,2,-,2,-,-,-,-,-,6
270895 Senador Rui Palmeira,-,-,-,-,-,-,1,1,1,-,-,-,-,3
270900 Tanque d'Arca,-,-,-,-,1,-,1,-,-,-,-,-,-,2
270910 Taquarana,-,-,-,-,-,1,-,-,-,1,-,-,-,2
270915 Teotônio Vilela,-,-,-,1,14,9,6,1,4,3,2,-,-,40
270920 Traipu,-,-,-,-,-,1,-,2,-,1,-,-,-,4
270930 União dos Palmares,-,-,-,-,5,14,2,4,1,-,1,-,-,27
270940 Viçosa,-,-,-,1,6,5,2,2,2,-,-,-,-,18
280020 Aquidabã,-,-,-,-,1,4,2,3,-,3,-,-,-,13
280030 Aracaju,-,1,-,9,90,196,87,51,14,2,5,2,-,457
280040 Arauá,-,-,-,-,-,-,-,1,-,-,-,-,-,1
280050 Areia Branca,-,-,-,-,-,6,2,-,1,-,1,-,-,10
280060 Barra dos Coqueiros,-,-,-,-,7,14,12,6,1,1,-,-,-,41
280067 Boquim,-,-,-,-,-,2,1,2,-,-,1,-,-,6
280070 Brejo Grande,-,-,-,-,1,1,1,1,-,-,-,-,-,4
280100 Campo do Brito,-,-,-,-,-,2,5,1,-,-,-,-,-,8
280110 Canhoba,-,-,-,-,-,1,-,-,-,1,-,-,-,2
280120 Canindé de São Francisco,-,-,-,-,1,2,2,5,1,-,-,-,-,11
280130 Capela,-,-,-,-,5,5,2,5,1,1,-,-,-,19
280140 Carira,-,-,-,-,-,1,5,2,2,1,-,-,-,11
280150 Carmópolis,-,-,-,-,3,4,1,-,1,-,-,-,-,9
280170 Cristinápolis,-,-,-,2,3,4,2,1,1,-,-,-,-,13
280200 Divina Pastora,-,-,-,-,-,-,1,1,-,-,-,-,-,2
280210 Estância,-,-,-,-,5,13,5,3,1,3,-,-,-,30
280220 Feira Nova,-,-,-,-,1,1,1,-,-,-,-,-,-,3
280230 Frei Paulo,-,-,-,-,-,3,-,1,-,-,-,-,-,4
280240 Gararu,-,-,-,-,-,-,2,1,-,-,-,-,-,3
280260 Gracho Cardoso,-,-,-,-,-,-,1,-,-,-,-,-,-,1
280270 Ilha das Flores,-,-,-,-,-,3,2,-,-,-,-,-,-,5
280280 Indiaroba,-,-,-,-,-,-,1,-,1,-,1,-,-,3
280290 Itabaiana,-,-,-,2,11,38,28,10,7,-,-,-,-,96
280300 Itabaianinha,-,-,1,-,1,8,2,1,2,-,-,-,-,15
280320 Itaporanga d'Ajuda,-,-,-,-,3,4,3,2,-,-,-,-,-,12
280330 Japaratuba,-,-,-,-,2,5,1,-,-,1,-,-,-,9
280340 Japoatã,-,-,-,-,-,3,-,1,-,-,-,-,-,4
280350 Lagarto,-,-,-,-,9,18,9,5,-,-,-,1,-,42
280360 Laranjeiras,-,-,-,-,6,8,3,2,1,-,-,-,-,20
280370 Macambira,-,-,-,-,-,2,-,-,-,-,-,-,-,2
280380 Malhada dos Bois,-,-,-,-,-,1,1,-,-,-,-,-,-,2
280390 Malhador,-,-,-,-,-,2,1,-,-,-,-,-,-,3
280400 Maruim,-,-,-,-,-,3,2,2,-,-,-,-,-,7
280410 Moita Bonita,-,-,-,-,1,2,4,-,-,-,-,-,-,7
280420 Monte Alegre de Sergipe,-,-,-,-,1,1,1,-,-,-,-,-,-,3
280430 Muribeca,-,-,-,-,-,2,-,-,-,-,-,-,-,2
280440 Neópolis,-,-,-,-,3,9,2,-,-,-,-,-,-,14
280445 Nossa Senhora Aparecida,-,-,-,-,-,-,1,1,-,-,-,-,-,2
280450 Nossa Senhora da Glória,-,-,-,-,-,5,2,3,1,-,1,-,-,12
280460 Nossa Senhora das Dores,-,-,-,-,1,2,-,2,3,1,-,-,-,9
280470 Nossa Senhora de Lourdes,-,-,-,-,-,-,-,-,1,-,-,-,-,1
280480 Nossa Senhora do Socorro,-,-,-,2,17,54,30,9,10,2,-,-,-,124
280490 Pacatuba,-,-,-,-,-,1,1,2,-,1,-,-,-,5
280510 Pedrinhas,-,-,-,-,1,1,1,-,1,-,-,-,-,4
280520 Pinhão,-,-,-,-,-,1,-,-,-,-,-,-,-,1
280530 Pirambu,-,-,-,-,-,2,3,-,-,-,-,-,-,5
280540 Poço Redondo,-,-,-,-,3,3,2,4,1,1,-,-,-,14
280550 Poço Verde,-,-,-,-,1,3,2,-,-,-,-,-,-,6
280560 Porto da Folha,-,-,-,-,2,1,4,1,1,2,-,-,-,11
280570 Propriá,1,-,-,-,3,8,5,1,2,1,-,-,-,21
280580 Riachão do Dantas,-,-,-,-,1,-,1,-,-,1,-,-,-,3
280590 Riachuelo,-,-,-,-,2,5,2,1,-,-,-,-,-,10
280600 Ribeirópolis,-,-,-,-,3,16,2,5,1,-,-,-,-,27
280610 Rosário do Catete,-,-,-,-,1,-,1,-,-,-,-,-,-,2
280620 Salgado,-,-,-,-,-,3,1,-,-,-,-,-,-,4
280630 Santa Luzia do Itanhy,-,-,-,-,1,2,1,-,-,-,-,-,-,4
280650 Santa Rosa de Lima,-,-,-,-,-,3,-,-,-,-,-,-,-,3
280640 Santana do São Francisco,-,-,-,-,-,2,1,-,1,-,-,-,-,4
280660 Santo Amaro das Brotas,-,-,-,-,-,1,1,1,-,-,-,-,-,3
280670 São Cristóvão,-,-,-,1,16,43,16,6,3,-,1,-,-,86
280680 São Domingos,-,-,-,-,1,-,1,1,1,-,-,-,-,4
280700 São Miguel do Aleixo,-,-,-,-,-,-,-,-,-,-,-,1,-,1
280710 Simão Dias,-,-,-,-,1,2,3,2,-,1,-,-,-,9
280720 Siriri,-,-,-,-,1,-,3,1,-,-,-,-,-,5
280730 Telha,-,-,-,-,1,-,-,-,-,-,-,-,-,1
280740 Tobias Barreto,-,-,-,-,3,7,2,1,1,-,1,-,-,15
280750 Tomar do Geru,-,-,-,-,-,2,1,-,-,-,-,-,-,3
280760 Umbaúba,-,-,-,-,-,5,2,1,-,-,-,-,-,8
290020 Abaré,-,-,-,-,1,-,-,1,-,-,-,-,-,2
290030 Acajutiba,-,-,-,-,5,7,2,3,-,-,-,-,-,17
290035 Adustina,-,-,-,-,-,-,-,1,-,-,-,-,-,1
290040 Água Fria,-,-,-,-,-,4,3,1,1,1,-,-,-,10
290060 Aiquara,-,-,-,-,-,1,1,-,-,-,-,-,-,2
290070 Alagoinhas,-,-,-,-,25,44,31,8,2,3,4,1,2,120
290080 Alcobaça,-,-,-,-,4,2,2,1,-,-,-,-,-,9
290090 Almadina,-,-,-,-,-,3,1,-,1,-,-,-,-,5
290100 Amargosa,-,-,-,-,2,5,1,-,-,-,-,-,-,8
290110 Amélia Rodrigues,-,-,-,-,2,4,5,1,-,-,-,-,-,12
290115 América Dourada,-,-,-,-,-,3,2,-,-,-,-,-,-,5
290120 Anagé,-,-,-,-,-,1,-,-,-,-,-,-,-,1
290130 Andaraí,-,-,-,-,-,1,1,-,-,-,-,-,-,2
290135 Andorinha,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290140 Angical,-,-,-,-,3,1,-,-,-,-,-,-,-,4
290150 Anguera,-,-,-,-,1,4,-,-,-,-,-,-,-,5
290160 Antas,-,-,-,-,-,2,2,1,-,-,-,-,-,5
290170 Antônio Cardoso,-,-,-,-,-,-,-,-,-,1,-,-,-,1
290180 Antônio Gonçalves,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290190 Aporá,-,-,-,-,1,6,2,-,-,-,-,-,-,9
290195 Apuarema,-,-,-,-,-,1,-,-,1,-,-,-,-,2
290205 Araças,-,-,-,-,-,1,2,-,-,-,-,-,-,3
290200 Aracatu,-,-,-,-,-,-,1,-,1,-,-,-,-,2
290210 Araci,-,-,-,-,2,3,7,1,2,1,-,-,1,17
290220 Aramari,-,-,-,-,1,3,2,-,-,-,-,-,-,6
290225 Arataca,-,-,-,-,-,4,3,-,2,-,-,-,-,9
290230 Aratuípe,-,-,-,-,-,1,-,1,1,-,2,-,-,5
290240 Aurelino Leal,-,-,-,-,1,3,3,1,-,-,-,1,-,9
290250 Baianópolis,-,-,-,-,1,1,-,-,-,-,-,-,-,2
290270 Barra,-,-,-,-,-,5,3,-,1,-,1,-,-,10
290280 Barra da Estiva,-,-,-,-,1,4,-,-,-,-,-,-,-,5
290290 Barra do Choça,-,-,-,1,10,6,4,1,1,-,-,-,-,23
290300 Barra do Mendes,-,-,-,1,-,-,2,2,-,-,-,-,-,5
290310 Barra do Rocha,-,-,-,-,2,2,1,-,-,1,-,-,-,6
290320 Barreiras,-,-,1,2,9,32,15,4,4,2,-,-,1,70
290323 Barro Alto,-,-,-,-,-,3,1,-,-,-,-,-,-,4
290330 Barro Preto,-,-,-,-,-,3,-,-,-,-,-,-,-,3
290340 Belmonte,-,-,-,-,3,5,2,2,2,-,-,-,1,15
290350 Belo Campo,-,-,-,-,2,2,1,2,1,-,1,-,-,9
290360 Biritinga,-,-,-,-,1,3,-,2,-,-,-,-,-,6
290370 Boa Nova,-,-,-,-,-,1,1,-,1,-,-,-,-,3
290380 Boa Vista do Tupim,-,-,-,-,1,1,1,-,-,-,-,-,-,3
290390 Bom Jesus da Lapa,-,-,-,2,12,18,13,4,2,-,-,-,1,52
290400 Boninal,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290405 Bonito,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290410 Boquira,-,1,-,-,-,-,1,-,-,-,-,-,-,2
290430 Brejões,-,-,-,-,-,1,1,-,-,-,1,-,-,3
290440 Brejolândia,-,-,-,-,-,2,-,-,1,1,-,-,-,4
290450 Brotas de Macaúbas,-,-,-,-,-,-,-,1,-,-,-,-,-,1
290460 Brumado,-,-,-,-,1,7,4,2,-,1,-,-,-,15
290470 Buerarema,-,-,-,-,1,3,2,2,-,1,-,-,-,9
290475 Buritirama,-,-,-,-,1,1,-,-,-,-,-,-,-,2
290485 Cabaceiras do Paraguaçu,-,-,-,-,2,7,1,1,-,-,-,-,-,11
290490 Cachoeira,-,-,-,-,4,16,1,2,2,-,1,-,-,26
290500 Caculé,-,-,-,-,-,1,-,-,-,-,-,-,-,1
290510 Caém,-,-,-,-,-,-,3,1,-,-,1,-,-,5
290515 Caetanos,-,-,-,-,-,-,-,1,-,-,-,-,-,1
290520 Caetité,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290530 Cafarnaum,-,-,-,-,2,2,-,1,-,-,-,-,-,5
290540 Cairu,-,-,-,-,1,4,2,-,3,-,-,-,-,10
290550 Caldeirão Grande,-,-,-,-,-,-,-,1,-,-,-,-,-,1
290560 Camacan,-,-,-,-,6,5,4,2,2,2,-,-,1,22
290570 Camaçari,-,-,1,3,53,112,64,20,11,1,-,1,8,274
290580 Camamu,-,-,-,-,8,8,8,1,5,-,-,-,-,30
290590 Campo Alegre de Lourdes,-,-,-,-,-,1,-,-,-,-,-,-,-,1
290600 Campo Formoso,-,-,-,-,2,3,1,3,-,-,-,-,-,9
290620 Canarana,-,-,-,-,2,6,1,-,-,1,-,-,-,10
290630 Canavieiras,-,-,-,1,3,5,9,-,3,3,1,-,-,25
290640 Candeal,-,-,-,-,1,3,1,2,-,-,-,-,-,7
290650 Candeias,-,-,-,1,13,19,17,9,-,-,-,-,-,59
290660 Candiba,-,-,-,-,-,2,1,-,1,-,-,-,-,4
290670 Cândido Sales,-,-,-,-,-,-,3,-,1,-,-,-,-,4
290680 Cansanção,-,-,-,-,1,6,1,-,-,-,-,-,-,8
290682 Canudos,-,-,-,-,-,2,-,-,-,-,-,-,-,2
290685 Capela do Alto Alegre,-,-,-,-,-,1,-,-,1,-,-,-,-,2
290687 Capim Grosso,-,-,-,-,1,11,2,-,-,-,-,-,-,14
290689 Caraíbas,-,-,-,-,-,1,-,-,-,-,-,-,-,1
290690 Caravelas,-,-,-,-,1,3,2,1,-,-,-,-,-,7
290700 Cardeal da Silva,-,-,-,-,1,2,1,1,1,-,-,-,-,6
290710 Carinhanha,-,-,-,-,-,3,1,1,-,1,-,-,-,6
290720 Casa Nova,-,-,-,-,3,9,7,4,-,-,-,-,-,23
290730 Castro Alves,-,-,-,-,1,3,1,1,-,-,-,-,-,6
290750 Catu,-,-,-,-,1,9,5,1,1,3,-,-,1,21
290760 Central,-,-,-,-,-,1,1,-,1,-,-,-,-,3
290770 Chorrochó,-,-,-,-,1,-,-,1,-,-,-,-,-,2
290780 Cícero Dantas,-,-,-,-,2,2,1,-,-,-,-,-,-,5
290790 Cipó,-,-,-,-,-,1,1,-,-,-,-,-,-,2
290800 Coaraci,-,-,-,-,1,1,1,2,-,2,-,1,-,8
290810 Cocos,-,-,-,-,2,2,1,-,2,1,-,-,-,8
290820 Conceição da Feira,-,-,-,-,1,1,-,4,2,-,-,-,-,8
290830 Conceição do Almeida,-,-,-,-,4,7,-,-,2,-,1,-,-,14
290840 Conceição do Coité,-,-,-,-,9,7,4,-,1,-,-,-,-,21
290850 Conceição do Jacuípe,-,-,-,-,3,3,2,3,1,-,-,-,2,14
290860 Conde,-,-,-,-,1,7,3,-,1,-,-,-,-,12
290870 Condeúba,-,-,-,-,-,-,1,1,-,-,-,-,-,2
290880 Contendas do Sincorá,-,-,-,-,-,-,1,-,-,-,-,-,-,1
290890 Coração de Maria,-,-,-,-,3,1,3,-,1,-,-,-,-,8
290910 Coribe,-,-,-,-,-,1,3,1,-,-,-,-,-,5
290920 Coronel João Sá,-,-,-,-,-,1,2,-,1,-,-,-,1,5
290930 Correntina,-,-,-,-,3,2,2,2,-,-,-,-,-,9
290940 Cotegipe,-,-,-,-,-,2,-,1,-,-,1,-,-,4
290960 Crisópolis,-,-,-,-,1,2,1,-,-,-,-,1,-,5
290970 Cristópolis,-,-,-,-,-,1,1,-,1,-,-,-,-,3
290980 Cruz das Almas,-,-,-,-,6,11,3,3,1,2,-,1,-,27
290990 Curaçá,-,-,-,-,1,4,3,1,-,1,-,-,-,10
291000 Dário Meira,-,-,-,-,-,4,1,-,-,-,-,-,-,5
291005 Dias d'Ávila,-,-,-,2,13,24,16,7,2,-,-,-,-,64
291010 Dom Basílio,-,-,-,-,-,-,-,2,-,-,-,-,-,2
291030 Elísio Medrado,-,-,-,-,-,-,-,1,-,-,-,-,-,1
291040 Encruzilhada,-,-,-,1,1,-,1,2,2,-,-,-,-,7
291050 Entre Rios,-,-,-,-,9,12,3,6,-,-,-,-,-,30
291060 Esplanada,-,-,-,-,8,8,7,2,1,2,-,-,1,29
291070 Euclides da Cunha,-,-,-,-,1,10,6,1,-,-,1,-,-,19
291072 Eunápolis,-,-,-,1,21,23,13,2,5,-,-,-,3,68
291075 Fátima,-,-,-,-,1,2,-,-,-,-,-,-,-,3
291077 Feira da Mata,-,-,-,-,-,-,-,1,-,-,-,-,-,1
291080 Feira de Santana,-,1,-,4,49,104,47,27,7,5,3,3,4,254
291085 Filadélfia,-,-,-,-,-,2,1,-,-,-,-,-,-,3
291100 Floresta Azul,-,-,-,-,-,1,2,-,-,-,1,-,-,4
291110 Formosa do Rio Preto,-,-,-,-,-,3,1,1,-,-,-,-,-,5
291120 Gandu,-,-,-,-,3,11,2,1,-,-,-,-,-,17
291125 Gavião,-,-,-,-,-,1,2,1,1,-,-,-,1,6
291130 Gentio do Ouro,-,-,-,-,-,1,1,1,1,-,-,-,-,4
291140 Glória,-,-,-,-,-,1,2,-,-,-,-,-,-,3
291150 Gongogi,-,-,-,-,-,4,1,-,-,-,-,-,-,5
291160 Governador Mangabeira,-,-,-,-,4,1,5,3,-,-,-,-,-,13
291170 Guanambi,-,-,-,1,5,11,3,2,3,1,-,-,-,26
291180 Guaratinga,-,-,-,-,-,3,2,3,-,-,-,-,-,8
291185 Heliópolis,-,-,-,-,2,3,-,1,-,-,1,-,-,7
291190 Iaçu,-,-,-,-,2,5,4,-,-,-,-,-,-,11
291210 Ibicaraí,-,-,-,-,3,1,3,1,-,-,-,-,-,8
291220 Ibicoara,-,-,-,-,-,3,1,1,-,-,-,-,-,5
291230 Ibicuí,-,-,-,-,1,3,-,-,-,-,-,-,-,4
291240 Ibipeba,-,-,-,-,3,3,-,-,-,1,-,-,-,7
291250 Ibipitanga,-,-,-,-,-,-,1,-,-,-,-,-,-,1
291270 Ibirapitanga,-,-,-,-,3,13,7,2,-,-,-,-,-,25
291280 Ibirapuã,-,-,-,-,-,-,2,-,-,-,-,-,-,2
291290 Ibirataia,-,-,-,-,2,3,1,1,1,-,-,-,-,8
291300 Ibitiara,-,-,-,-,-,-,1,-,-,-,-,-,-,1
291310 Ibititá,-,-,-,-,-,1,1,-,-,-,-,-,-,2
291320 Ibotirama,-,-,-,-,6,9,6,-,1,1,-,-,-,23
291340 Igaporã,-,-,-,-,-,1,-,-,-,-,-,-,-,1
291345 Igrapiúna,-,-,-,-,2,1,1,2,1,-,-,-,-,7
291350 Iguaí,-,-,-,-,5,5,4,2,1,-,-,-,1,18
291360 Ilhéus,-,-,-,2,22,51,23,9,7,1,1,-,2,118
291370 Inhambupe,-,-,-,-,3,8,7,1,2,-,-,-,-,21
291380 Ipecaetá,-,-,-,-,2,-,-,-,-,-,-,-,-,2
291390 Ipiaú,-,-,-,-,5,19,3,3,1,-,2,-,-,33
291400 Ipirá,-,-,-,-,3,7,3,2,-,-,-,-,-,15
291410 Ipupiara,-,-,-,-,1,-,-,-,-,-,-,-,-,1
291420 Irajuba,-,-,-,-,-,-,1,-,-,-,-,-,-,1
291440 Iraquara,-,-,-,-,-,1,-,1,-,-,-,-,-,2
291450 Irará,-,-,-,-,1,-,-,1,-,-,-,-,-,2
291460 Irecê,-,-,-,-,8,26,12,8,4,1,-,-,-,59
291465 Itabela,-,-,-,1,9,14,2,2,2,-,-,-,-,30
291470 Itaberaba,-,-,-,1,10,14,7,3,2,-,-,-,-,37
291480 Itabuna,-,-,1,2,26,57,33,16,10,4,2,3,1,155
291490 Itacaré,-,-,-,-,2,9,7,2,1,-,-,-,-,21
291500 Itaeté,-,-,-,-,-,-,-,-,-,1,1,-,-,2
291510 Itagi,-,-,-,-,-,-,1,2,1,1,-,-,-,5
291520 Itagibá,-,-,-,-,-,3,-,-,-,-,-,-,-,3
291530 Itagimirim,-,-,-,-,1,2,-,-,-,-,-,-,-,3
291535 Itaguaçu da Bahia,-,-,-,-,-,2,1,2,-,-,-,-,-,5
291540 Itaju do Colônia,-,-,-,-,2,2,2,-,-,-,-,-,-,6
291550 Itajuípe,-,-,-,1,4,2,5,-,-,-,1,-,-,13
291560 Itamaraju,-,-,-,1,12,18,12,2,2,3,2,-,1,53
291570 Itamari,-,-,-,-,-,-,1,1,-,-,-,-,-,2
291580 Itambé,-,-,-,2,2,7,2,2,-,1,-,-,1,17
291600 Itanhém,-,-,-,-,1,3,1,2,1,1,-,-,-,9
291610 Itaparica,-,-,-,1,4,9,3,4,-,-,-,-,-,21
291620 Itapé,-,-,-,-,-,1,2,-,-,-,-,-,-,3
291630 Itapebi,-,-,-,-,3,4,4,-,-,-,-,-,-,11
291640 Itapetinga,-,-,-,1,7,19,6,2,-,-,1,-,1,37
291650 Itapicuru,-,-,-,-,2,4,3,2,-,-,-,-,1,12
291660 Itapitanga,-,-,-,-,1,2,1,-,-,-,-,-,-,4
291670 Itaquara,-,-,-,-,-,-,-,-,1,-,-,-,-,1
291680 Itarantim,-,-,-,-,2,4,-,-,-,1,-,-,-,7
291685 Itatim,-,-,-,-,1,4,2,-,-,-,-,-,-,7
291690 Itiruçu,-,-,1,-,-,1,-,-,-,-,-,-,-,2
291700 Itiúba,-,-,-,1,1,5,2,3,-,-,-,-,-,12
291710 Itororó,-,-,-,-,1,2,-,-,-,-,-,-,-,3
291720 Ituaçu,-,-,-,-,-,1,1,1,-,-,-,-,-,3
291730 Ituberá,-,-,-,-,3,2,3,3,-,-,-,-,-,11
291735 Jaborandi,-,-,-,-,-,1,-,-,-,-,-,-,-,1
291740 Jacaraci,-,-,-,-,-,-,-,-,1,-,-,-,-,1
291750 Jacobina,-,-,-,-,10,10,7,2,2,-,-,1,1,33
291760 Jaguaquara,-,-,-,-,2,-,3,1,-,-,-,-,-,6
291770 Jaguarari,-,-,-,-,2,2,1,-,-,1,-,-,-,6
291780 Jaguaripe,-,-,-,-,1,5,5,1,2,-,-,1,-,15
291790 Jandaíra,-,-,-,-,-,2,1,2,2,-,1,-,-,8
291800 Jequié,-,-,-,1,16,51,15,7,4,3,2,-,-,99
291810 Jeremoabo,-,-,-,-,-,5,3,1,-,-,-,-,-,9
291820 Jiquiriçá,-,-,-,-,1,-,-,-,-,-,-,-,-,1
291830 Jitaúna,-,-,-,-,-,1,-,2,-,-,-,-,-,3
291835 João Dourado,-,-,-,1,3,7,2,-,-,-,-,-,-,13
291840 Juazeiro,-,-,-,1,11,43,40,16,8,4,1,1,-,125
291845 Jucuruçu,-,-,-,-,-,1,-,2,-,-,-,-,-,3
291850 Jussara,-,-,-,-,-,1,2,-,-,-,-,-,-,3
291855 Jussari,-,-,-,-,-,3,3,1,-,1,-,-,-,8
291870 Lafaiete Coutinho,-,-,-,-,-,1,-,1,-,-,-,1,-,3
291880 Laje,-,-,-,-,2,3,3,1,1,-,-,-,-,10
291890 Lajedão,-,-,-,-,-,-,-,1,-,-,-,-,-,1
291900 Lajedinho,-,-,-,-,-,-,-,1,-,-,-,-,-,1
291910 Lamarão,-,-,-,-,1,3,-,-,-,-,-,-,-,4
291915 Lapão,-,-,-,-,1,6,3,2,-,1,-,-,-,13
291920 Lauro de Freitas,-,-,-,4,38,60,28,9,5,-,1,-,-,145
291930 Lençóis,-,-,-,-,-,3,4,1,1,-,-,-,-,9
291950 Livramento de Nossa Senhora,-,-,-,-,-,-,2,-,-,-,-,-,-,2
291955 Luís Eduardo Magalhães,-,-,-,-,8,13,8,3,2,-,1,-,1,36
291960 Macajuba,-,-,-,-,-,-,1,-,-,-,-,-,-,1
291970 Macarani,-,-,-,1,1,-,2,-,-,-,-,-,-,4
291980 Macaúbas,-,-,-,-,-,1,1,1,1,1,-,-,-,5
291990 Macururé,-,-,-,-,-,1,1,-,-,-,-,-,-,2
291992 Madre de Deus,-,-,-,-,4,3,3,-,-,-,-,-,-,10
292000 Maiquinique,-,-,-,-,-,5,1,-,-,-,-,-,-,6
292010 Mairi,-,-,-,-,-,1,4,3,1,-,-,-,-,9
292020 Malhada,-,-,-,-,-,-,1,2,-,-,-,-,-,3
292040 Manoel Vitorino,-,-,-,-,-,1,-,-,-,-,-,-,-,1
292045 Mansidão,-,-,-,-,1,-,-,-,-,-,-,-,-,1
292050 Maracás,-,-,-,1,1,7,1,-,-,-,-,-,-,10
292060 Maragogipe,-,-,-,-,8,13,7,4,-,-,-,-,-,32
292070 Maraú,-,-,-,-,1,3,2,-,1,-,1,-,-,8
292080 Marcionílio Souza,-,-,-,-,-,-,1,-,-,-,-,-,-,1
292090 Mascote,-,-,-,-,6,5,3,1,-,-,-,-,1,16
292100 Mata de São João,-,-,-,-,5,12,10,6,1,-,-,-,-,34
292105 Matina,-,-,-,-,-,1,-,-,-,-,-,-,-,1
292110 Medeiros Neto,-,-,-,-,1,6,3,-,-,-,-,-,-,10
292120 Miguel Calmon,-,-,-,-,-,2,2,2,-,-,-,-,-,6
292130 Milagres,-,-,-,-,2,2,1,-,-,-,-,-,-,5
292140 Mirangaba,-,-,-,-,1,-,1,-,-,-,-,-,-,2
292145 Mirante,-,-,-,-,-,-,1,-,-,-,-,-,-,1
292150 Monte Santo,-,-,-,-,1,3,4,1,1,1,-,-,-,11
292160 Morpará,-,-,-,-,-,-,1,-,-,-,-,-,-,1
292170 Morro do Chapéu,-,1,-,-,2,7,3,3,-,2,1,-,-,19
292190 Mucugê,-,-,-,-,-,1,-,-,-,-,-,-,-,1
292200 Mucuri,-,-,-,-,1,7,6,2,2,1,1,-,-,20
292205 Mulungu do Morro,-,-,-,-,1,8,4,-,-,-,-,-,-,13
292210 Mundo Novo,-,-,-,-,-,3,-,-,-,-,-,-,-,3
